estado_importacao,chave_importacao,duplicado_provavel,ordem_cronologica,matricula,vin_chassi,processo_oficina,folha_obra,data_documento,hora_documento,data_hora_documento,origem_maquina,tipo_registo,resumo,link_documento_original,origem_ficheiro,lote_importacao,observacoes_importacao,criado_por,criado_em,km_leitura,modulo_calculador,referencia_software,edicao_calibracao,edicao_software,data_telecarregamento,numero_telecarregamentos,fornecedor_ecu,referencia_material,km_ultima_reposicao_manutencao,km_ate_proxima_manutencao,dias_ate_proxima_manutencao,dias_desde_ultima_reposicao_manutencao,numero_manutencoes_efetuadas,limite_temporal_ultrapassado,limite_quilometrico_ultrapassado,limiar_manutencao_km,duracao_manutencao_meses,inicio_primeira_manutencao_km,duracao_antes_primeira_manutencao_meses,gestao_manutencao,taxa_diluicao_oleo_pct,taxa_carbono_oleo_pct,protecao_anti_diluicao,intervalo_calculado_calculador_km,existem_defeitos,numero_total_codigos_eventos,codigos_principais,defeito_critico,estado_principal,caracterizacao_resumo_defeito,km_associado_defeito,acao_recomendada
validado,corrigido_VR3EDYHT7RJ747043_2026-04-20_VR3EDYHT7RJ747043_dos-defeitos_2.pdf,sim,1,BM-27-OP,VR3EDYHT7RJ747043,,,2026-04-20,10:31:30,2026-04-20 10:31:30,PSA-DIAG/Stellantis,lubrificacao_motor,dos defeitos | codigos: B15B1; B1215; B173A; B120D; U1108; B11F0; P0513 68; B120D 16; B1238 7B; P0562; P0513; P203F,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT7R747043_lubrificacao_motor_dos-defeitos.pdf,2026-04-20_VR3EDYHT7RJ747043_dos-defeitos_2.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT7R747043 para VR3EDYHT7RJ747043; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,B15B1; B1215; B173A; B120D; U1108; B11F0; P0513 68; B120D 16; B1238 7B; P0562; P0513; P203F,Sim,Permanente,,,Prioridade alta: diagnosticar defeitos permanentes/críticos
validado,corrigido_VR3EDYHT7RJ747043_2026-04-20_VR3EDYHT7RJ747043_dos-defeitos_6.pdf,sim,2,BM-27-OP,VR3EDYHT7RJ747043,,,2026-04-20,10:31:30,2026-04-20 10:31:30,PSA-DIAG/Stellantis,lubrificacao_motor,dos defeitos | codigos: B15B1; B1215; B173A; B120D; U1108; B11F0; P0513 68; B120D 16; B1238 7B; P0562; P0513; P203F,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT7R747043_lubrificacao_motor_dos-defeitos.pdf,2026-04-20_VR3EDYHT7RJ747043_dos-defeitos_6.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT7R747043 para VR3EDYHT7RJ747043; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,B15B1; B1215; B173A; B120D; U1108; B11F0; P0513 68; B120D 16; B1238 7B; P0562; P0513; P203F,Sim,Permanente,,,Prioridade alta: diagnosticar defeitos permanentes/críticos
validado,corrigido_VR3EDYHT7SJ761952_2026-04-15_VR3EDYHT7SJ761952_dos-defeitos_1.pdf,sim,1,BX-13-HL,VR3EDYHT7SJ761952,,,2026-04-15,15:09:54,2026-04-15 15:09:54,PSA-DIAG/Stellantis,lubrificacao_motor,dos defeitos | codigos: B1418; B1175; B11F0; B153E; C1433; B120A; B16E2 00; B1472; B1865; B1715; B1040; P250A,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-15_VR3EDHT7S761952_lubrificacao_motor_dos-defeitos.pdf,2026-04-15_VR3EDYHT7SJ761952_dos-defeitos_1.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT7S761952 para VR3EDYHT7SJ761952; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,B1418; B1175; B11F0; B153E; C1433; B120A; B16E2 00; B1472; B1865; B1715; B1040; P250A,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3EDYHT7SJ761952_2026-04-15_VR3EDYHT7SJ761952_dos-defeitos_2.pdf,sim,2,BX-13-HL,VR3EDYHT7SJ761952,,,2026-04-15,15:09:54,2026-04-15 15:09:54,PSA-DIAG/Stellantis,lubrificacao_motor,dos defeitos | codigos: B1418; B1175; B11F0; B153E; C1433; B120A; B16E2 00; B1472; B1865; B1715; B1040; P250A,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-15_VR3EDHT7S761952_lubrificacao_motor_dos-defeitos.pdf,2026-04-15_VR3EDYHT7SJ761952_dos-defeitos_2.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT7S761952 para VR3EDYHT7SJ761952; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,B1418; B1175; B11F0; B153E; C1433; B120A; B16E2 00; B1472; B1865; B1715; B1040; P250A,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_2.pdf,sim,1,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:00:34,2026-04-20 15:00:34,PSA-DIAG/Stellantis,leitura_defeitos,dos defeitos | codigos: P203F 61; B15B1; B1537; C1135; B15B1 81; C1638; U1221; B1418; P203F; B132A; B1805 13; B1473,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_leitura_defeitos_dos-defeitos.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_2.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,P203F 61; B15B1; B1537; C1135; B15B1 81; C1638; U1221; B1418; P203F; B132A; B1805 13; B1473,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_6.pdf,sim,2,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:00:34,2026-04-20 15:00:34,PSA-DIAG/Stellantis,leitura_defeitos,dos defeitos | codigos: P203F 61; B15B1; B1537; C1135; B15B1 81; C1638; U1221; B1418; P203F; B132A; B1805 13; B1473,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_leitura_defeitos_dos-defeitos.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_6.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,P203F 61; B15B1; B1537; C1135; B15B1 81; C1638; U1221; B1418; P203F; B132A; B1805 13; B1473,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_3.pdf,sim,3,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:01:41,2026-04-20 15:01:41,PSA-DIAG/Stellantis,identificacao_telecarregamento,dos defeitos | codigos: C1433 86; U1FE6; B173D; B1238; U1205 00; B1040; B120D 00; U1F3B; B1238 87; C1433 96; U1F6C 21; U1205 92,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_identificacao_telecarregamento_dos-defeitos.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_3.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,C1433 86; U1FE6; B173D; B1238; U1205 00; B1040; B120D 00; U1F3B; B1238 87; C1433 96; U1F6C 21; U1205 92,Sim,Permanente,,,Prioridade alta: diagnosticar defeitos permanentes/críticos
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_7.pdf,sim,4,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:01:41,2026-04-20 15:01:41,PSA-DIAG/Stellantis,identificacao_telecarregamento,dos defeitos | codigos: C1433 86; U1FE6; B173D; B1238; U1205 00; B1040; B120D 00; U1F3B; B1238 87; C1433 96; U1F6C 21; U1205 92,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_identificacao_telecarregamento_dos-defeitos.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_7.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,local,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,C1433 86; U1FE6; B173D; B1238; U1205 00; B1040; B120D 00; U1F3B; B1238 87; C1433 96; U1F6C 21; U1205 92,Sim,Permanente,,,Prioridade alta: diagnosticar defeitos permanentes/críticos
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_4.pdf,sim,5,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:01:56,2026-04-20 15:01:56,PSA-DIAG/Stellantis,leitura_defeitos,dos defeitos | codigos: U1205 13; B16E2; B15EE 94; B15EE; B1002; B1472; U1F1A; U1118; U1802; B1717 21; U1817; B1400,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_leitura_defeitos_dos-defeitos_1.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_4.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,U1205 13; B16E2; B15EE 94; B15EE; B1002; B1472; U1F1A; U1118; U1802; B1717 21; U1817; B1400,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3EDYHT9SJ767168_2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_8.pdf,sim,6,BX-07-HO,VR3EDYHT9SJ767168,,,2026-04-20,15:01:56,2026-04-20 15:01:56,PSA-DIAG/Stellantis,leitura_defeitos,dos defeitos | codigos: U1205 13; B16E2; B15EE 94; B15EE; B1002; B1472; U1F1A; U1118; U1802; B1717 21; U1817; B1400,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-20_VR3EDHT9S767168_leitura_defeitos_dos-defeitos_1.pdf,2026-04-20_VR3EDYHT9SJ767168_dos-defeitos_8.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3EDHT9S767168 para VR3EDYHT9SJ767168; matrícula inferida por histórico,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,U1205 13; B16E2; B15EE 94; B15EE; B1002; B1472; U1F1A; U1118; U1802; B1717 21; U1817; B1400,Não,,,,Analisar códigos de defeito e confirmar recorrência
validado,corrigido_VR3UPHNE1R5051747_2026-04-23_VR3UPHNE1R5051747_dos-defeitos_1.pdf,sim,1,BJ-52-ZA,VR3UPHNE1R5051747,,,2026-04-23,11:44:28,2026-04-23 11:44:28,PSA-DIAG/Stellantis,lubrificacao_motor,dos defeitos | codigos: U1262; B162C; P17ED; B1865; P1631; B1805; P1631 A2; C120D; B1818; U1108; B1238; B173A,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-23_VR3UPNE1R5051747_lubrificacao_motor_dos-defeitos.pdf,2026-04-23_VR3UPHNE1R5051747_dos-defeitos_1.pdf,historico_tecnico_2026_v2,VIN corrigido de VR3UPNE1R5051747 para VR3UPHNE1R5051747; matrícula inferida por histórico,Codex,2026-05-20 03:17:30,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,U1262; B162C; P17ED; B1865; P1631; B1805; P1631 A2; C120D; B1818; U1108; B1238; B173A,Não,,,,Analisar códigos de defeito e confirmar recorrência
