estado_importacao,chave_importacao,duplicado_provavel,ordem_cronologica,matricula,vin_chassi,processo_oficina,folha_obra,data_documento,hora_documento,data_hora_documento,origem_maquina,tipo_registo,resumo,link_documento_original,origem_ficheiro,lote_importacao,observacoes_importacao,criado_por,criado_em,km_leitura,modulo_calculador,referencia_software,edicao_calibracao,edicao_software,data_telecarregamento,numero_telecarregamentos,fornecedor_ecu,referencia_material,km_ultima_reposicao_manutencao,km_ate_proxima_manutencao,dias_ate_proxima_manutencao,dias_desde_ultima_reposicao_manutencao,numero_manutencoes_efetuadas,limite_temporal_ultrapassado,limite_quilometrico_ultrapassado,limiar_manutencao_km,duracao_manutencao_meses,inicio_primeira_manutencao_km,duracao_antes_primeira_manutencao_meses,gestao_manutencao,taxa_diluicao_oleo_pct,taxa_carbono_oleo_pct,protecao_anti_diluicao,intervalo_calculado_calculador_km,existem_defeitos,numero_total_codigos_eventos,codigos_principais,defeito_critico,estado_principal,caracterizacao_resumo_defeito,km_associado_defeito,acao_recomendada
validado,431e198d24ddb52e_2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_2.pdf,sim,2,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,431e198d24ddb52e_2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_3.pdf,sim,3,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_3.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,431e198d24ddb52e_2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_4.pdf,sim,4,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_4.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,f28ad98b15f9ec1d_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_3.pdf,sim,7,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_3.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,73fcc59145d7fcd2_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_4.pdf,sim,8,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1_1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_4.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,f28ad98b15f9ec1d_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_5.pdf,sim,9,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_5.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,73fcc59145d7fcd2_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_6.pdf,sim,10,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1_1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_6.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,f28ad98b15f9ec1d_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_7.pdf,sim,11,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_7.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,73fcc59145d7fcd2_2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_8.pdf,sim,12,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_outro_informacoes-linha-de-escape-1_1.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-linha-de-escape-1_8.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,9df080b141eace40_2026-04-07_VF7SXHMRVNT636098_informacoes-de-manutencao_2.pdf,sim,2,AT-41-ZA,VF7SXHMRVNT636098,,,2026-04-07,,2026-04-07,Autel,manutencao,informacoes de manutencao,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-07_AT-41-ZA_VF7SXHMRVNT636098_manutencao_informacoes-de-manutencao.pdf,2026-04-07_VF7SXHMRVNT636098_informacoes-de-manutencao_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
