estado_importacao,chave_importacao,duplicado_provavel,ordem_cronologica,matricula,vin_chassi,processo_oficina,folha_obra,data_documento,hora_documento,data_hora_documento,origem_maquina,tipo_registo,resumo,link_documento_original,origem_ficheiro,lote_importacao,observacoes_importacao,criado_por,criado_em,km_leitura,modulo_calculador,referencia_software,edicao_calibracao,edicao_software,data_telecarregamento,numero_telecarregamentos,fornecedor_ecu,referencia_material,km_ultima_reposicao_manutencao,km_ate_proxima_manutencao,dias_ate_proxima_manutencao,dias_desde_ultima_reposicao_manutencao,numero_manutencoes_efetuadas,limite_temporal_ultrapassado,limite_quilometrico_ultrapassado,limiar_manutencao_km,duracao_manutencao_meses,inicio_primeira_manutencao_km,duracao_antes_primeira_manutencao_meses,gestao_manutencao,taxa_diluicao_oleo_pct,taxa_carbono_oleo_pct,protecao_anti_diluicao,intervalo_calculado_calculador_km,existem_defeitos,numero_total_codigos_eventos,codigos_principais,defeito_critico,estado_principal,caracterizacao_resumo_defeito,km_associado_defeito,acao_recomendada
validado,fc76aae6ee1165f7,nao,1,BC-24-RI,TMBJG8NX1PY152756,,,2026-03-06,,2026-03-06,Autel,leitura_defeitos,relatorio de diagnostico do veiculo,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-06_BC-24-RI_TMBJG8NX1PY152756_leitura_defeitos_relatorio-de-diagnostico-do-veiculo.pdf,2026-03-06_TMBJG8NX1PY152756_relatorio-de-diagnostico-do-veiculo.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,18d0c33d8dc2de75,nao,1,BL-53-VX,TMBJG8NX2RY164532,,,2026-01-22,,2026-01-22,Autel,outro,2 sistemas analisados 18 2 0,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/01_Janeiro/2026-01-22_BL-53-VX_TMBJG8NX2RY164532_outro_2-sistemas-analisados-18-2-0.pdf,2026-01-22_TMBJG8NX2RY164532_2-sistemas-analisados-18-2-0.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,664e303a1a7c1d8e,nao,1,BG-25-TM,VF3YBBPFBPG057051,,,2026-01-17,,2026-01-17,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/01_Janeiro/2026-01-17_BG-25-TM_VF3YBBPFBPG057051_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-01-17_VF3YBBPFBPG057051_informacoes-lubrificacao-motor.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,b1b6582f46315dc5,nao,1,AUSENTE,VF3YBBPFBPG057051,,,2026-05-15,12:33:33,2026-05-15 12:33:33,PSA-DIAG/Stellantis,leitura_defeitos,leitura de defeitos_pre | codigos: P02ED; P16D9; B11A3; B1008,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/05_Maio/2026-05-15_AUSENTE_VF3YBBPFBPG057051_leitura_defeitos_leitura-de-defeitos-pre.pdf,2026-05-15_vf3ybbpfbpg057051_leitura-de-defeitos_pre.pdf,historico_tecnico_2026_v2,,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,Dinâmica,,,,,Sim,,P02ED; P16D9; B11A3; B1008,Sim,Permanente,do defeitoornecido recebido inválido,,Prioridade alta: diagnosticar defeitos permanentes/críticos
validado,419dcdb62edc2d85,nao,2,BG-25-TM,VF3YBBPFBPG057051,,,2026-05-15,12:34:31,2026-05-15 12:34:31,PSA-DIAG/Stellantis,lubrificacao_motor,leitura de defeitos,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/05_Maio/2026-05-15_BG-25-TM_VF3YBBPFBPG057051_lubrificacao_motor_leitura-de-defeitos.pdf,2026-05-15_vf3ybbpfbpg057051_leitura-de-defeitos.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e9d322b730bbff58,nao,3,BG-25-TM,VF3YBBPFBPG057051,,,2026-05-15,12:35:13,2026-05-15 12:35:13,PSA-DIAG/Stellantis,identificacao_telecarregamento,referencia do material9824601180,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/05_Maio/2026-05-15_BG-25-TM_VF3YBBPFBPG057051_identificacao_telecarregamento_referencia-do-material9824601180.pdf,2026-05-15_vf3ybbpfbpg057051_referencia-do-material9824601180.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,96ee59d47c7c7176,nao,1,BG-56-TP,VF3YBBPFBPG057052,,,2026-04-16,,2026-04-16,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-16_BG-56-TP_VF3YBBPFBPG057052_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-04-16_VF3YBBPFBPG057052_informacoes-lubrificacao-motor_1.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,97fff63d78ddcd79,nao,2,BG-56-TP,VF3YBBPFBPG057052,,,2026-04-16,,2026-04-16,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/04_Abril/2026-04-16_BG-56-TP_VF3YBBPFBPG057052_lubrificacao_motor_informacoes-lubrificacao-motor_1.pdf,2026-04-16_VF3YBBPFBPG057052_informacoes-lubrificacao-motor_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,431e198d24ddb52e,sim,1,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_1.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,431e198d24ddb52e,sim,2,BG-46-TM,VF3YBBPFBPG057053,,,2026-03-13,,2026-03-13,Autel,lubrificacao_motor,informacoes lubrificacao motor,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-13_BG-46-TM_VF3YBBPFBPG057053_lubrificacao_motor_informacoes-lubrificacao-motor.pdf,2026-03-13_VF3YBBPFBPG057053_informacoes-lubrificacao-motor_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
